Unnamed: 0,MMSI,type,length,beam,range,bearing,timestamp,lat,long,"lat, ","lon,",length
AIS,574006030,70,119,17,20311.4,5.83441,62304114,0.364262,1.86217,20.87067524,106.6944817,119
AIS,574006120,70,0,0,13391.4,2.1714,62174487,0.360201,1.86551,20.63799708,106.8858496,0
AIS,574012022,70,21,5,11267.8,0.678366,62198923,0.362767,1.86484,20.78501805,106.8474615,21
AIS,574012023,70,24,6,14244.3,1.3921,62308479,0.361786,1.866,20.72881089,106.9139246,24
AIS,574012147,70,80,13,37267.3,5.56046,62262878,0.365774,1.85951,20.95730646,106.542075,80
AIS,574012424,0,0,0,23000.1,2.19326,62271870,0.359283,1.86679,20.58539955,106.9591882,0
AIS,574012475,70,80,13,13707.8,0.16265,62295794,0.363513,1.86402,20.8277607,106.8004789,80
AIS,574012563,70,79,13,13543.1,0.0987024,62265062,0.363505,1.86388,20.82730233,106.7924575,79
AIS,574012575,75,95,14,13758.6,0.474969,62305538,0.36331,1.86471,20.81612965,106.840013,95
AIS,574012659,70,79,13,27444.8,5.65097,62278449,0.364864,1.86093,20.9051673,106.623435,79
AIS,574012693,80,79,12,26138.6,4.0464,62318245,0.358853,1.86021,20.56076237,106.582182,79
AIS,574012702,0,0,0,7740000.0,6.26526,61589944,1.58825,3.15905,91.00002181,181.0002323,0
AIS,574012703,0,0,0,26543.3,5.60171,62307487,0.364624,1.86084,20.89141631,106.6182783,0
AIS,574012768,70,79,13,61613.5,3.36999,62264874,0.351969,1.86132,20.16633822,106.6457803,79
AIS,574012773,70,80,12,34338.7,5.66895,62263038,0.365793,1.86033,20.95839508,106.5890575,80
AIS,574012836,55,34,8,16899.2,6.05303,62184299,0.363972,1.863,20.85405946,106.7420372,34
AIS,574012837,55,34,8,16919.8,6.054,62224228,0.363976,1.86301,20.85428864,106.7426102,34
AIS,574013045,0,0,0,54635.2,3.32189,62207788,0.352953,1.86201,20.22271727,106.6853144,0
AIS,574013074,70,77,10,26394.2,1.75784,62308479,0.360616,1.868,20.66177482,107.0285161,77
AIS,574013126,70,64,11,20572.2,5.77586,62224665,0.364212,1.86197,20.86781045,106.6830226,64
AIS,574013144,70,79,13,27240.0,6.25209,62312840,0.365663,1.86351,20.95094662,106.7712581,79
AIS,574013334,70,79,13,24492.4,5.62824,61993195,0.364438,1.86115,20.88075929,106.63604,79
AIS,574013379,0,0,0,26290.4,5.59261,61975733,0.36457,1.86084,20.88832234,106.6182783,0
AIS,574013405,0,0,0,37330.7,5.56616,62317751,0.365804,1.85953,20.95902533,106.5432209,0
AIS,574013464,33,67,11,14057.7,0.276598,62315402,0.363512,1.8643,20.8277034,106.8165217,67
AIS,574013507,70,79,12,57191.8,3.9173,62308523,0.354974,1.85695,20.33851204,106.3953978,79
AIS,574013527,70,79,12,23069.8,5.70971,62311391,0.364431,1.86155,20.88035822,106.6589584,79
AIS,574013615,0,0,0,37756.4,5.5495,62256210,0.365788,1.8594,20.9581086,106.5357724,0
AIS,574013637,70,146,20,58859.6,1.06489,61848118,0.365854,1.87231,20.96189012,107.2754609,146
AIS,574013698,70,71,10,17739.9,0.813894,62212081,0.363301,1.86582,20.81561399,106.9036113,71
AIS,574013701,70,80,15,14448.9,0.254062,62318443,0.363585,1.86426,20.83188599,106.8142299,80
AIS,574013714,70,71,11,18379.4,0.510149,62320445,0.363907,1.86516,20.85033524,106.8657961,71
AIS,574013852,70,79,12,43533.3,5.65196,62229387,0.366903,1.85933,21.02199339,106.5317617,79
AIS,574013915,0,0,0,16883.8,0.986581,61880365,0.362851,1.86602,20.78983089,106.9150705,0
AIS,574014072,0,0,0,43035.5,5.65535,62286500,0.366854,1.8594,21.0191859,106.5357724,0
AIS,574014096,0,0,0,60394.6,1.06546,62299218,0.365966,1.87254,20.96830725,107.288639,0
AIS,574014116,80,83,14,31069.8,2.78377,62300703,0.356821,1.86547,20.44433734,106.8835578,83
AIS,574014134,70,78,13,18211.2,5.97564,62311059,0.364114,1.86273,20.86219546,106.7265674,78
AIS,574014205,0,0,0,57180.4,3.91689,62283739,0.354972,1.85695,20.33839745,106.3953978,0
AIS,574014295,33,0,0,17435.1,0.762079,62056761,0.363369,1.86567,20.81951011,106.895017,0
AIS,574014296,70,79,15,24737.6,5.60699,62293983,0.364417,1.86105,20.87955608,106.6303105,79
AIS,574014401,70,79,14,23535.2,5.6914,62303538,0.364455,1.86145,20.88173332,106.6532288,79
AIS,574014402,33,40,9,15740.9,0.543643,62092818,0.363504,1.86502,20.82724504,106.8577747,40
AIS,574014442,0,0,0,11582.4,2.19193,62320419,0.360331,1.86523,20.64544553,106.8698068,0
AIS,574014485,70,76,13,22593.2,2.20298,62311842,0.359293,1.86671,20.58597251,106.9546046,76
AIS,574014514,70,79,13,29073.1,5.67259,62203772,0.365127,1.86085,20.92023609,106.6188513,79
AIS,574014565,70,79,14,57196.9,3.91796,62306784,0.354977,1.85694,20.33868392,106.3948248,79
AIS,574014574,70,98,16,14404.6,0.318375,62207681,0.363537,1.86441,20.8291358,106.8228243,98
AIS,574014575,7,37,10,16993.0,0.878593,62275250,0.363091,1.86585,20.80358188,106.9053302,37
AIS,574014587,70,95,16,27711.6,6.23087,62300255,0.365733,1.86341,20.95495733,106.7655285,95
AIS,574014611,70,109,20,27404.9,6.15796,62314123,0.365658,1.86308,20.95066015,106.7466209,109
AIS,574014631,0,0,0,57198.7,3.92268,62279285,0.355007,1.85691,20.3404028,106.3931059,0
AIS,574014686,70,77,12,26419.1,5.59646,62311031,0.364595,1.86084,20.88975473,106.6182783,77
AIS,574014734,70,79,14,41386.9,0.726873,62318339,0.366241,1.86828,20.98406358,107.0445589,79
AIS,574014764,0,0,0,22892.2,2.47519,62291968,0.358564,1.86602,20.54420389,106.9150705,0
AIS,574014911,70,77,14,14196.4,0.198151,62317351,0.363574,1.86412,20.83125574,106.8062085,77
AIS,574014915,52,28,11,17010.4,0.918103,62282448,0.36301,1.86592,20.79894092,106.9093409,28
AIS,574014918,0,0,0,20320.4,5.79654,62318393,0.364209,1.86206,20.86763856,106.6881792,0
AIS,574014992,70,74,14,20012.7,1.47537,62247477,0.361687,1.867,20.7231386,106.9712204,74
AIS,574015007,70,71,12,17420.4,1.01721,62318843,0.362826,1.86614,20.7883985,106.921946,71
AIS,574019956,0,10,10,33225.1,3.55356,62196378,0.35661,1.86142,20.43224793,106.6515099,10
AIS,574023106,0,0,0,29867.2,5.65024,62061424,0.365168,1.86068,20.92258521,106.609111,0
AIS,574040684,0,0,0,34317.4,5.5374,62239185,0.365344,1.85974,20.93266927,106.555253,0
AIS,574051216,0,0,0,24687.4,2.26206,61822153,0.358918,1.86684,20.56448659,106.962053,0
AIS,574093132,30,26,6,20513.4,5.88784,62303152,0.364361,1.86232,20.87634752,106.7030761,26
AIS,574098367,0,0,0,34393.4,5.53838,62259597,0.365356,1.85973,20.93335682,106.55468,0
AIS,574100207,33,45,8,15898.6,6.16078,61995855,0.363867,1.86333,20.8480434,106.7609448,45
AIS,574101419,0,0,0,18985.1,5.96458,62234742,0.36422,1.86265,20.86826881,106.7219837,0
AIS,574103928,0,0,0,28407.9,2.66927,61857513,0.357418,1.86582,20.47854292,106.9036113,0
AIS,574110067,0,0,0,28568.8,0.8877,62185475,0.364218,1.86737,20.86815422,106.9924198,0
AIS,574110237,60,52,11,23205.7,5.71022,62310689,0.36445,1.86154,20.88144684,106.6583854,52
