,ID radar,range,bearbing,timestamp,h?p nh?t,length,lat ,lon,lat_new,lon_new,,,,,,
Radar,1003,17655.7,1.19722,61679312,1,17,,,20.7639818,106.9373608,,,,,,
Radar,1003,17656.5,1.19743,61689314,1,10,,,20.76395341,106.9373809,,,,,,
Radar,1003,17656,1.1977,61699338,1,2,,,20.7639119,106.9373931,,,,,,
Radar,1003,17655.5,1.19788,61709311,1,12,,,20.76388368,106.9373998,,,,,,
Radar,1003,17655.1,1.19784,61719330,1,17,,,20.76388827,106.9373937,,,,,,
Radar,1003,17654.9,1.19724,61729310,1,17,,,20.76397623,106.9373549,,,,,,
Radar,1003,17654.8,1.19715,61739332,1,99574196717,,,20.76398919,106.9373484,,,,,,
Radar,1003,17655.8,1.1967,61749327,1,99574196717,,,20.76405891,106.9373295,,,,,,
Radar,1003,17655.6,1.19623,61759323,1,99574196717,,,20.76412763,106.9372985,,,,,,
Radar,1003,17655.4,1.19673,61769322,1,9957419672,,,20.76405317,106.9373277,,,,,,
Radar,1003,17655.2,1.19706,61779332,1,99574196715,,,20.76400379,106.9373464,,,,,,
Radar,1003,17655.1,1.19694,61789335,1,99574196717,,,20.76402118,106.9373381,,,,,,
Radar,1003,17653.9,1.19726,61799341,1,9957419672,,,20.76396999,106.9373471,,,,,,
Radar,1003,17654.2,1.19764,61809336,1,99574196717,,,20.76391487,106.9373733,,,,,,
Radar,1003,17654.4,1.19791,61819333,1,99574196717,,,20.76387565,106.9373918,,,,,,
Radar,1003,17654.7,1.19806,61829345,1,9957419672,,,20.76385447,106.9374037,,,,,,
Radar,1003,17654.9,1.19758,61839336,1,9957419672,,,20.76392602,106.9373759,,,,,,
Radar,1003,17653.8,1.19673,61849345,1,99574196717,,,20.76404791,106.9373134,,,,,,
Radar,1003,17654.2,1.1966,61859340,1,99574196717,,,20.76406842,106.937309,,,,,,
Radar,1003,17653.4,1.19654,61869358,1,99574196715,,,20.76407465,106.9372981,,,,,,
Radar,1003,17653.9,1.19654,61879344,1,9957419672,,,20.76407629,106.9373026,,,,,,
Radar,1003,17653.3,1.19648,61889366,1,9957419672,,,20.76408317,106.9372935,,,,,,
Radar,1003,17653.9,1.19662,61899370,1,9957419677,,,20.76406448,106.9373075,,,,,,
Radar,1003,17653.3,1.19704,61909373,1,99574196710,,,20.76400051,106.9373282,,,,,,
Radar,1003,17654,1.19712,61919348,1,99574196715,,,20.76399099,106.9373394,,,,,,
Radar,1003,17654.5,1.19742,61929371,1,9957419672,,,20.76394834,106.9373624,,,,,,
Radar,1003,17654.8,1.19762,61939376,1,99574196715,,,20.76391978,106.9373775,,,,,,
Radar,1003,17655,1.19717,61949359,1,99574196717,,,20.76398689,106.9373514,,,,,,
Radar,1003,17655.1,1.19744,61959361,1,10,,,20.76394735,106.937369,,,,,,
Radar,1003,17655,1.19763,61969370,1,12,,,20.76391896,106.9373799,,,,,,
Radar,1003,17653.8,1.19776,61979372,1,17,,,20.76389583,106.9373772,,,,,,
Radar,1003,17654.1,1.19771,61989360,1,7,,,20.7639042,106.9373768,,,,,,
Radar,1003,17653.2,1.19753,61999381,1,2,,,20.76392783,106.9373576,,,,,,
Radar,1003,17654.8,1.19752,62009370,1,5,,,20.76393455,106.9373713,,,,,,
Radar,1003,17655,1.19767,62019370,1,15,,,20.76391305,106.9373823,,,,,,
Radar,1003,17654.1,1.19714,62029397,1,15,,,20.76398837,106.9373415,,,,,,
Radar,1003,17654.4,1.19713,62039377,1,12,,,20.76399083,106.9373436,,,,,,
Radar,1003,17654.7,1.19702,62049398,1,15,,,20.76400805,106.9373394,,,,,,
Radar,1003,17654.9,1.1975,62059381,1,2,,,20.76393783,106.9373709,,,,,,
Radar,1003,17655,1.19735,62069409,1,17,,,20.76396031,106.9373626,,,,,,
Radar,1003,17655,1.19777,62079395,1,17,,,20.76389829,106.9373885,,,,,,
Radar,1003,17654.9,1.19755,62089406,1,2,,,20.76393045,106.937374,,,,,,
Radar,1003,17654.9,1.19707,62099387,1,17,,,20.76400133,106.9373443,,,,,,
Radar,1003,17654.9,1.19748,62109415,1,17,,,20.76394079,106.9373697,,,,,,
Radar,1003,17654.8,1.19753,62119409,1,2,,,20.76393307,106.9373719,,,,,,
Radar,1003,17654.8,1.19744,62129393,1,15,,,20.76394637,106.9373663,,,,,,
Radar,1003,17654.8,1.19776,62139413,1,17,,,20.76389911,106.9373861,,,,,,
