,MMSI,type,length,beam,range,bearing,timestamp,lat,long,"lat, ","lon,",,
AIS,574014134,70,78,13,18212.4,5.97554,61600248,0.364114,1.86273,20.86219546,106.7265674,,
AIS,563158400,70,147,23,20091.5,1.67125,61601153,0.361072,1.86701,20.6879017,106.9717933,,
AIS,565106000,74,294,32,16937.6,0.925013,61601187,0.362989,1.86592,20.79773771,106.9093409,,
AIS,574566202,30,26,6,42420.6,2.745,61601245,0.355247,1.8664,20.35415378,106.9368429,,
AIS,574000820,35,66,13,16012.8,6.13576,61601449,0.363876,1.86326,20.84855907,106.7569341,,
AIS,563158400,70,147,23,20091.5,1.67125,61601489,0.361072,1.86701,20.6879017,106.9717933,,
AIS,574491000,70,112,18,25923.4,2.24363,61602029,0.358852,1.86705,20.56070507,106.9740851,,
AIS,574572000,0,0,0,39851.9,0.873456,61602089,0.365402,1.86879,20.93599243,107.0737798,,
AIS,574400554,70,72,12,15713.9,0.660542,61602898,0.363337,1.86527,20.81767664,106.8720987,,
AIS,563158400,70,147,23,20106.5,1.6709,61602942,0.361073,1.86701,20.687959,106.9717933,,
AIS,477547400,71,148,24,13924,0.356097,61603002,0.363438,1.86447,20.82346351,106.826262,,
AIS,574567219,30,26,4,48818.8,2.76686,61603214,0.354257,1.86664,20.29743096,106.9505939,,
AIS,574014485,70,76,13,22368.3,2.31453,61603381,0.359011,1.86641,20.5698151,106.9374158,,
AIS,440301000,70,148,24,21365.8,1.62928,61603418,0.361192,1.86723,20.69477719,106.9843984,,
AIS,941050180,0,0,0,14679.4,2.30654,61603683,0.359843,1.86548,20.61748519,106.8841308,,
AIS,574001001,0,0,0,20947.5,5.73883,61603863,0.364202,1.86183,20.86723749,106.6750012,,
AIS,353368000,74,267,35,20454.8,1.99595,61603864,0.360064,1.86678,20.63014755,106.9586153,,
AIS,563228300,0,0,0,49016.7,1.46623,61604068,0.362182,1.87183,20.75150002,107.247959,,
AIS,941050180,0,0,0,14679.4,2.30654,61604068,0.359843,1.86548,20.61748519,106.8841308,,
AIS,574565733,30,26,6,3217.42,0.829553,61604118,0.361731,1.86405,20.72565962,106.8021978,,
AIS,312261000,70,108,18,21162.6,2.26359,61604375,0.359267,1.86638,20.58448282,106.935697,,
AIS,574512000,80,70,10,39864.5,0.865342,61604645,0.365443,1.86875,20.93834155,107.071488,,
AIS,574191919,52,28,13,24781.9,5.63317,61604696,0.364485,1.86113,20.8834522,106.6348941,,
AIS,355632000,0,172,33,14181.7,0.358785,61604943,0.363474,1.86449,20.82552616,106.8274079,,
AIS,357787000,70,182,28,25370.2,2.63136,61605179,0.357914,1.86573,20.50696163,106.8984547,,
AIS,477548900,71,172,28,13952.2,0.0808315,61605207,0.363573,1.86384,20.83119844,106.7901657,,
AIS,574225252,30,26,6,38921.2,2.97715,61605637,0.355363,1.86472,20.3608001,106.840586,,
AIS,574013615,0,0,0,37759.2,5.54949,61606088,0.365789,1.8594,20.95816589,106.5357724,,
AIS,574014575,7,37,10,16988.8,0.878432,61606192,0.363091,1.86585,20.80358188,106.9053302,,
AIS,375637000,52,23,12,24749.1,5.63285,61606512,0.36448,1.86113,20.88316572,106.6348941,,
AIS,574012475,70,80,13,13708,0.162648,61606596,0.363513,1.86402,20.8277607,106.8004789,,
AIS,574708999,52,25,13,24795.3,5.63215,61606673,0.364485,1.86113,20.8834522,106.6348941,,
AIS,574100207,33,45,8,15834.9,6.18383,61606908,0.363863,1.86339,20.84781422,106.7643826,,
AIS,563158400,70,147,23,20132.8,1.67012,61607072,0.361075,1.86701,20.68807359,106.9717933,,
AIS,574002938,0,0,0,20986.2,2.01186,61607135,0.359982,1.86683,20.6254493,106.9614801,,
AIS,440301000,70,148,24,21376.1,1.62839,61607261,0.361195,1.86723,20.69494908,106.9843984,,
AIS,574002860,70,75,12,19851.3,1.7411,61607302,0.36086,1.86693,20.675755,106.9672096,,
AIS,574110251,60,60,12,27748.6,0.898169,61607304,0.364101,1.8673,20.86145062,106.9884091,,
AIS,574012703,0,0,0,26542.5,5.60173,61607475,0.364624,1.86084,20.89141631,106.6182783,,
AIS,995741825,142,2,2,14807.2,0.580475,61607520,0.363333,1.86502,20.81744746,106.8577747,,
AIS,574401033,70,99,16,18718.9,1.66631,61607994,0.361108,1.86678,20.68996435,106.9586153,,
AIS,995741787,139,2,2,16870.5,6.07964,61607995,0.363983,1.86308,20.85468971,106.7466209,,
AIS,574013507,70,79,12,57190.8,3.91728,61608326,0.354974,1.85695,20.33851204,106.3953978,,
AIS,995741777,139,2,2,19616.6,5.95179,61608412,0.364301,1.86258,20.87290977,106.717973,,
AIS,995741779,139,2,2,19155.8,5.96292,61608545,0.364243,1.86264,20.86958662,106.7214108,,
AIS,574012023,70,24,6,14913.5,1.42135,61608546,0.361737,1.86613,20.72600339,106.921373,,
AIS,352003621,70,92,14,22989.5,5.68993,61608592,0.364381,1.86149,20.87749343,106.6555206,,
AIS,574014918,0,0,0,20320.4,5.79654,61608649,0.364209,1.86206,20.86763856,106.6881792,,
AIS,574356000,70,125,18,27222.8,6.17333,61608728,0.365637,1.86315,20.94945693,106.7506316,,
AIS,574013701,70,80,15,13928.1,0.433538,61608808,0.363374,1.86463,20.81979658,106.8354294,,
AIS,574098367,0,0,0,34394.3,5.53854,61608968,0.365357,1.85973,20.93341412,106.55468,,
AIS,574003420,80,97,16,19966.9,2.75593,61609304,0.358486,1.86491,20.53973481,106.8514722,,
AIS,574003400,90,32,9,17113.6,6.03583,61609792,0.363994,1.86295,20.85531997,106.7391724,,
AIS,574110237,60,52,11,23205.3,5.71013,61609928,0.36445,1.86154,20.88144684,106.6583854,,
AIS,574110869,0,0,0,28273.1,0.897338,61610220,0.364155,1.86736,20.86454459,106.9918468,,
AIS,574013714,70,71,11,18378.6,0.51013,61610288,0.363907,1.86516,20.85033524,106.8657961,,
AIS,574013852,70,79,12,43511.9,5.65196,61610291,0.3669,1.85933,21.0218215,106.5317617,,
AIS,574899899,52,0,0,24766.1,5.63175,61610592,0.36448,1.86113,20.88316572,106.6348941,,
AIS,574003260,0,29,11,16988.8,0.929289,61610965,0.362985,1.86594,20.79750853,106.9104868,,
AIS,574014134,70,78,13,18212,5.97553,61611180,0.364114,1.86273,20.86219546,106.7265674,,
AIS,574013698,70,71,10,17741.9,0.814003,61611312,0.363301,1.86582,20.81561399,106.9036113,,
AIS,574003420,80,97,16,19968.9,2.75597,61611553,0.358485,1.86491,20.53967752,106.8514722,,
AIS,574565868,0,0,0,22944.1,1.97663,61611641,0.359966,1.86719,20.62453257,106.9821065,,
AIS,574012836,55,34,8,16939.4,6.05255,61611981,0.363978,1.863,20.85440324,106.7420372,,
AIS,574112568,0,0,0,39574.2,0.809792,61612033,0.36567,1.86847,20.95134769,107.0554451,,
AIS,574014764,0,0,0,22741.5,2.58765,61612382,0.358353,1.86566,20.53211448,106.894444,,
AIS,995741982,138,2,1,12867.7,0.514621,61612639,0.363148,1.86472,20.80684774,106.840586,,
AIS,357510000,80,95,16,21091.1,1.57006,61613101,0.36139,1.86719,20.70612176,106.9821065,,
AIS,995741868,147,5,5,18571.3,1.47748,61614320,0.36166,1.86676,20.72159162,106.9574694,,
